katz_centrality,vertex
0.004622053,CP01-2141
0.004622053,CP11-2081
0.00462205,CP97-1194
0.004622053,Ho10-9211
0.00462205,CP03-1992
0.00462205,CP01-1015
0.004622053,CP17-1463
0.004622053,CP90-1335
0.00462205,CP11-1367
0.004622053,CP19-4506
0.00462205,CP10-2304
0.004622053,CP15-1499
0.004622053,LCP86-0468
0.00462205,CP19-1410
0.004622053,L03-0394
0.0046220473,CP13-1042
0.00462205,CP11-1851
0.004622053,CP09-1416
0.0046220473,CP19-2153
0.004622053,CP19-4648
0.004622053,LCP81-0022
0.00462205,CP11-1600
0.004622053,Ho08-9031
0.00462205,CP98-3006
0.004622053,CP15-2451
0.00462205,CP94-1291
0.00462205,CP19-2341
0.004622053,Ho15-9336
0.00462205,CP16-4829
0.00462205,CP93-1645
0.00462205,CP14-2379
0.00462205,CPCL02-7442
0.0046220473,CPCL02-2597
0.0046220473,Ho04-9131
0.00462205,L19-0489
0.00462205,CP16-1924
0.004622053,CP16-2385
0.004622053,CP18-1434
0.004622053,L04-0400
0.004622053,HoCP09-0859
0.0046220473,CP95-1741
0.00462205,CPCL13-4017
0.00462205,CP98-1161
0.00462205,CP12-1393
0.00462205,CP16-4002
0.00462205,CP02-1375
0.004622053,Ho16-0649
0.004622053,CP88-0710
0.004622053,Ho13-9147
0.00462205,CP09-2164
0.00462205,CP09-1693
0.004622053,CP16-1209
0.004622053,CP18-4492
0.004622053,CP00-1353
0.004622053,CP53-0022
0.00462205,CPCL06-3426
0.00462205,CP95-1214
0.00462205,CPCL06-3198
0.0046220473,CP01-1777
0.0046220473,CP98-1728
0.004622053,L91-0248
0.0046220473,CP15-4765
0.0046220473,CPCL14-4142
0.00462205,CP14-1632
0.004622053,CP17-1184
0.0046220473,CP12-2334
0.00462205,CPCL06-3283
0.0046220473,CP11-1013
0.004622053,Ho79-0014
0.004622053,CP14-2003
0.00462205,CP14-1732
0.00462205,CP00-1928
0.0046220473,CPCL02-2925
0.004622053,HoCP19-0915
0.00462205,CP11-1533
0.0046220473,CP97-1339
0.004622053,CP16-4105
0.004622053,CP13-1661
0.00462205,CP12-1826
0.004622053,L12-0217
0.00462205,CP14-2100
0.00462205,CP00-1915
0.00462205,CP06-2447
0.0046220473,CPCL14-4139
0.004622053,HoCP91-0573
0.00462205,CP10-2218
0.004622053,CP18-1970
0.004622053,CP17-1911
0.00462205,CP95-1283
0.004622053,CP14-2233
0.0046220487,CP09-1602
0.00462205,CP19-1486
0.00462205,CP12-1771
0.00462205,CP10-1048
0.004622053,L71-0024
0.00462205,CP09-1523
0.00462205,CP99-1782
0.00462205,CP13-1470
0.00462205,CP11-1456
0.00462205,CP98-1115
0.004622053,CP06-2938
0.004622053,CP01-1980
0.004622053,CP96-1009
0.004622053,CP07-2143
0.00462205,L89-0143
0.004622053,CP16-1368
0.00462205,CPCL05-1338
0.0046220487,CP14-1756
0.00462205,CP95-1921
0.004622053,CP90-1336
0.00462205,CP94-1039
0.00462205,CP96-1565
0.00462205,CP17-2128
0.0046220515,CP10-2245
0.00462205,CP01-1423
0.004622053,Ho01-0013
0.004622053,CP03-2430
0.004622053,CP04-1200
0.004622053,Ho82-0011
0.004622053,L02-0341
0.00462205,CP98-1476
0.0046220473,CPCL02-2584
0.0046220473,CP12-1012
0.00462205,CP10-1141
0.004622053,CP17-4665
0.00462205,CP19-2268
0.00462205,CP12-1457
0.004622053,CP02-1147
0.004622053,CP03-1860
0.00462205,CP10-1818
0.00462205,CP95-1172
0.004622053,CP99-1071
0.004622053,CP03-1738
0.004622053,CP88-0750
0.0046220515,CP17-2329
0.00462205,CP10-2117
0.00462205,CP16-4335
0.0046220515,CP19-4859
0.0046220473,CP95-1418
0.00462205,CP15-1395
0.004622053,CP04-1067
0.004622053,HoCP01-0505
0.0046220473,CP12-1054
