labels,vertex
4643,CP17-4654
4644,CP11-1684
4645,Ho03-0037
4646,CP02-1016
4647,CP17-2291
4648,HoL05-0954
4649,CP14-1424
4650,CP12-1051
4651,CP96-1127
4652,HoL09-0843
4653,Ho13-9117
4654,CP92-1710
4655,CP92-1483
12592,CP91-1010
12593,Ho79-0008
12594,CP12-1648
12595,CP15-1778
12596,CP01-1144
12597,L99-0242
12598,CP10-1921
12599,CP03-1900
12600,CP98-2006
12601,CP78-0326
12602,CP82-0547
12603,CP15-1231
12604,CP98-1842
12605,CP99-1398
12606,CP14-1725
12607,CP10-1545
17568,CP17-1605
17569,CP07-2482
17570,CP15-1977
17571,CP00-1071
17572,CP13-1950
17573,CP11-1807
17574,CP18-1221
17575,CP16-1586
17576,CP98-1031
17577,HoCP97-0611
17578,CP18-1476
17579,CP02-1011
17580,CP93-1002
17581,HoCP19-0910
17582,CP15-4151
17583,CP11-1275
12288,CP11-1164
12289,CP91-1452
12290,CP16-2181
12291,CP07-1196
12292,CP06-2131
12293,CP18-1769
12294,CP03-2442
12295,CP19-1020
12296,CP14-1499
12297,CP01-2592
12298,CP18-1343
12299,CP17-4083
12300,CP95-1734
12301,CP15-4498
12302,CP91-1325
12303,CP91-1363
1200,CP99-1460
1201,Ho10-9206
1202,CP00-1348
1203,CP95-1361
1204,CP16-1808
1205,CP19-2320
1206,CP04-2043
1207,CP06-2618
1208,CP09-1495
1209,CP15-1492
1210,CP17-1900
1211,CP93-1717
1212,CP17-1917
1213,CP15-4416
1214,L96-0019
1215,CP06-2502
2864,CP17-1039
2865,CP95-1825
2866,CP17-4803
2867,CP03-1838
2868,POLY07-04
2869,CPCL06-3315
2870,CP10-1262
2871,Ho78-0026
2872,CP19-4414
2873,CP18-2232
2874,CP10-1343
2875,CP16-4688
2876,92P1
2877,CP06-2906
2878,CP89-1632
2879,CP09-1047
10784,CP48-0120
10785,CP00-1807
10786,CP01-1163
10787,CP13-2334
10788,CP07-1598
10789,CP00-1633
10790,CP16-4314
10791,CP98-1562
10792,CP15-2282
10793,CP18-2256
10794,CP92-1555
10795,CP01-2241
10796,L00-0275
10797,CP04-1102
10798,CP02-2409
10799,CP16-1655
7104,CP52-0070
7105,CP96-1596
7106,CP01-1727
7107,CP12-2386
7108,CP17-4765
7109,CP00-2059
7110,CP04-2157
7111,CP17-1165
7112,CP16-1158
7113,CP01-1629
7114,CP96-1468
7115,CP09-1682
7116,CP18-1853
7117,CP11-2281
7118,CP01-2337
7119,CL02-8069
5104,CP06-2484
5105,L02-0351
5106,CP09-1987
5107,CPCL02-1165
5108,CP19-4844
5109,Ho08-9061
5110,CP10-1172
5111,CP09-1011
5112,CP03-1356
5113,CP02-1275
5114,HoCP11-0569
5115,CP11-2418
5116,CP03-1144
5117,CP86-0957
5118,CP14-1878
5119,CP90-1568
6448,CP04-1840
6449,Ho98-0025
6450,CP06-2113
6451,CP91-2417
6452,CP11-2328
6453,CP96-1120
6454,CP18-4410
6455,CP14-1375
6456,CP14-1360
6457,CPCL05-1087
6458,CP96-1645
6459,CP79-0309
6460,CP04-2016
6461,CP87-0657
6462,CP03-1373
6463,CP96-1497
20176,HoCP95-0971
20177,CP10-1132
20178,US90-1028
20179,CP12-2114
20180,CP19-4726
20181,CP15-1762
20182,Ho11-0568
20183,CP07-1249
20184,US99-1006
20185,CP15-2416
20186,CP11-2390
20187,CP17-1875
20188,CP19-1445
20189,CP17-1167
20190,CP93-1594
20191,CP10-1942
13216,CP94-1861
13217,CP91-1275
13218,CP06-2119
13219,CP12-1731
13220,Ho76-0200
13221,CP06-2269
13222,Ho09-9109
13223,CP17-1015
13224,CP97-1480
13225,CP17-2135
13226,CP99-1634
13227,87P11
13228,CP06-2011
13229,CP14-1050
13230,CP01-1290
13231,CP90-0909
6096,CP98-1329
6097,CP02-1818
6098,CP01-1024
6099,CP85-1025
6100,CP16-4418
6101,CP97-1408
6102,L91-0267
6103,CP01-1093
6104,CP98-1276
6105,CP90-0906
6106,HoCP11-0541
6107,CP19-1248
6108,Ho94-0016
6109,CP02-1596
6110,HoCP02-0622
6111,HoCP18-0811
10368,CP16-4933
10369,CP12-1903
10370,CP01-2627
10371,CP15-1099
10372,CP13-2296
10373,CP15-4550
10374,CP15-2030
10375,CP13-1542
10376,CP12-1799
10377,CP06-2525
10378,CPCL06-3395
10379,CP02-1986
10380,CP10-1484
10381,CP92-1841
10382,CP12-2120
10383,CP98-1172
4816,CP14-4543
4817,CP17-4004
4818,CP93-1187
4819,04P06
4820,CP03-1643
4821,CP14-4174
4822,L17-0433
4823,CP02-1912
4824,CP15-2522
4825,CP12-1397
4826,CP12-1399
4827,CP01-2214
4828,Ho08-9503
4829,CP03-2008
4830,CP98-1267
4831,CP92-1089
9664,CP97-1142
9665,CP97-1444
9666,CP15-1383
9667,CP02-2518
9668,CP08-1504
9669,Ho08-9029
9670,CP14-2132
9671,US87-1021
9672,CP10-1357
9673,CP19-1331
9674,CP17-1088
9675,CP00-1787
9676,HoCP97-0636
9677,CP10-1177
9678,CP91-1246
9679,CP99-1211
19744,CP86-0925
19745,CP13-1205
19746,Ho80-0005
19747,CP09-1110
19748,CP10-1155
19749,CP09-2066
19750,CP96-1530
19751,CP10-1212
19752,L95-0452
19753,CP86-0941
19754,CP95-1563
19755,CP96-1232
19756,CP15-1092
19757,CP04-2049
19758,Ho09-9138
19759,L16-0349
14880,CP17-2002
14881,CP95-1113
14882,L03-0363
14883,CPCL06-3376
14884,CP17-4534
14885,L02-0335
14886,CP18-1641
14887,Ho11-9342
14888,Ho19-9339
14889,CP15-4209
14890,L10-0159
14891,CP09-1352
14892,CP14-1717
14893,11P15
14894,CP13-1380
14895,Ho12-0617
7008,CP10-1498
7009,CP09-1748
7010,CP18-4132
7011,CP03-1090
7012,CP11-2033
7013,CP92-1258
7014,CP09-1457
7015,CP96-1967
7016,CP10-1787
7017,CP99-1081
7018,CP09-1840
7019,CP14-1430
7020,CP00-1512
7021,CP92-1008
7022,CP13-1579
7023,CP03-1271
9360,CP15-1156
9361,HoCP20-0548
9362,CP70-0300
9363,CP02-1758
9364,CP91-1252
9365,CP87-0633
9366,CP00-1399
9367,CP90-1653
9368,CP09-1391
