,partition,vertex
646,21,CP02-1181
647,7,CP15-2050
648,30,CP03-1353
649,0,Ho19-9315
650,6,CP11-1150
651,7,CP17-1408
652,16,CP15-4877
653,8,CP19-2036
654,19,CP09-1117
655,0,CP11-1480
656,2,CP04-1905
657,5,CP01-2457
658,20,CP12-1588
659,23,CP13-2097
660,6,CP12-1464
661,9,CP13-2285
662,2,CP02-1449
663,2,CP16-4491
664,0,CP00-1160
665,13,CP11-2393
666,1,CP99-1516
667,18,CP15-2389
668,7,CP16-1340
669,5,CP17-1205
670,12,CP11-1071
671,2,CP01-2446
672,3,L96-0036
673,2,CP01-1669
674,9,CP02-1682
675,22,CP99-1387
676,12,CP09-1771
677,12,CP14-1377
678,1,CP97-1320
679,23,CP09-1304
680,21,CP01-2236
681,7,CP14-1854
682,2,CP03-1950
683,17,CP91-1306
684,9,CP13-1727
685,2,CP03-1829
686,0,HoCP20-0509
687,1,CP96-1670
688,0,CP11-1484
689,12,CP14-1203
690,2,CP16-2013
691,16,CP13-2213
692,3,L89-0112
693,18,CP17-4743
694,9,CP16-2254
695,33,CP97-2205
696,0,AFRI15-0003
697,27,CP98-1657
698,1,CP00-1864
699,5,CP95-1747
700,3,LCP86-0407
701,18,CP18-2301
702,2,CP08-2024
703,7,CP18-4758
704,3,HoCP98-0768
705,3,L90-0212
706,2,CP97-1399
707,2,CP11-1453
708,25,CP15-2129
709,10,CP17-1789
710,1,CP98-1921
711,0,HoCP19-0901
712,19,CP16-2455
713,5,CP11-2173
714,12,CP09-1667
715,0,HoCP02-0624
716,17,CP96-1515
717,12,CP06-2310
718,17,CP94-1891
719,7,CP15-1300
720,5,CP94-1807
721,42,Ho04-9132
722,27,CP97-1526
723,14,CP02-1262
724,12,CP07-1725
725,25,CP12-1154
726,5,CP94-1502
727,7,CP15-1002
728,2,CP16-2019
729,5,CP94-1642
730,3,LCP86-0410
731,18,CP17-2434
732,28,CP14-4421
733,17,CP92-1519
734,5,CP95-1582
735,14,CP93-1320
736,14,US90-1016
737,0,HoCP11-0567
738,3,CP52-0070
739,19,CP12-1443
740,13,POLY01-3
741,0,Ho14-9258
742,0,HoCP01-0561
743,3,Kassoer
744,3,CP38-0105
745,12,CL02-8148
746,3,Ho86-0008
747,0,SES114
748,0,L13-0246
749,3,L83-0193
750,6,CL82-2210
751,3,Ho86-0006
752,4,CP07-2484
753,1,CP03-2180
754,0,CP02-2024
755,1,CP00-2127
756,33,HoCP92-0663
757,0,Ho03-0012
758,3,L70-0062
759,0,HoCP11-0538
760,0,HoCP16-0675
761,3,CP01-1516
762,8,CP16-1322
763,25,CP17-1731
764,8,CP18-1392
765,3,CP92-1781
766,1,CP92-1626
767,8,CP15-4867
768,2,CL91-1918
769,9,CPCL02-6848
770,3,CP73-0343
771,23,POLY10-16
772,13,POLY01-6
773,21,TCP96-4397
774,4,CP01-2431
775,0,L97-0128
776,18,CP09-2400
777,22,CP94-1952
778,9,CPCL05-1009
779,3,CP74-0387
780,17,CP77-1776
781,12,Mix 08-1D
782,18,CP09-1390
783,6,Mix 07 F
784,6,CP09-2207
785,8,CP16-1237
786,25,CP17-1734
787,26,CP07-1175
788,0,L98-0200
789,7,CP16-1627
790,3,CP84-0749
791,25,CP11-2201
792,18,CP12-1408
793,1,CP99-1581
794,9,CP02-1690
795,10,CP92-1325
796,14,CP97-1816
797,4,CP09-1010
798,0,Ho04-9106
799,25,CP12-1802
800,15,CP84-1591
801,9,CP88-1762
802,8,CP94-2059
803,4,CP96-1252
804,5,CP85-1491
805,7,CP06-2664
806,13,CL88-4730
807,7,CP05-1616
808,7,CP02-2281
809,1,CP90-1151
810,14,CP72-2086
811,18,CP06-2042
812,3,CP65-0357
813,12,CP01-2459
814,2,CP94-1200
815,11,CP95-1039
816,18,CP17-4191
817,21,CP01-1243
818,2,CP02-2346
819,9,CP16-1695
820,9,CP11-1303
821,18,CP17-1753
822,3,CPCL02-2721
823,20,CP12-1595
824,8,CP18-4266
825,7,CP19-1354
826,10,CP15-1560
827,5,CP11-2169
828,5,CP93-1148
829,8,CP19-1651
830,7,CP19-1398
831,0,HoCP98-0752
832,9,CP07-1832
833,1,CP99-1155
834,5,CP93-1582
835,6,CP09-2008
836,3,L92-0328
837,6,CP12-2230
838,17,CP92-1801
839,6,CP19-2159
840,12,CP07-2025
841,18,CP19-4077
842,5,CP95-1619
843,13,CPCL02-0543
844,0,Ho19-9318
845,6,CP14-1132
846,7,CP13-1244
847,16,CP14-1556
848,6,CP11-2391
849,5,CP94-1593
850,22,CP03-2052
851,7,CP18-1196
852,9,CP15-2121
853,18,CP19-1814
854,17,CP95-1974
855,14,CP01-2119
856,7,CP11-2048
857,7,CP17-4072
858,1,CP98-1551
859,17,CP02-2196
860,3,LCP86-0430
861,2,CP01-2292
862,25,CP11-1360
863,26,H02-1108
864,10,POLY09-05
865,0,HoCP04-0803
866,3,Ho87-0008
867,0,Ho07-9023
868,3,US96-0002
869,7,US08-1020
870,7,CP11-1325
871,20,R6S195
872,47,97P5
873,0,HoCP96-0538
874,17,CP70-1527
875,36,Co312
876,0,Ho07-9015
877,3,L79-1002
878,0,L07-0059
879,0,L05-0451
880,18,CP16-1869
881,27,CP95-1539
882,1,CP98-1272
883,1,CP97-2115
884,20,CP15-1557
885,1,CP98-1269
886,1,CP98-1350
887,1,CP98-2014
888,10,CP15-2128
889,8,CP16-1088
890,6,CP10-1242
891,2,CP04-1665
892,2,CP02-1555
893,33,CP93-1770
894,7,CP15-4738
895,8,CP18-1389
896,9,CPCL02-2584
897,25,CP12-1012
898,6,CP10-1141
899,18,CP17-4665
900,8,CP19-2268
901,16,CP12-1457
902,1,CP02-1147
903,1,CP03-1860
904,20,CP10-1818
905,5,CP95-1172
906,22,CP99-1071
907,27,CP96-1544
908,0,CP01-2301
909,11,CP91-1312
910,12,CP09-1679
911,29,CP19-2009
912,25,POLY09-23
913,26,CP91-1883
914,3,CP52-0001
915,16,CP07-2460
916,6,CL93-1858
917,0,HoCP92-0631
918,18,CP07-1606
919,17,CP83-1281
920,2,CP91-2410
921,12,CPCL97-1864
922,26,95P06
923,17,US88-1016
924,24,CL92-0775
925,1,CP91-2234
926,10,CP09-1385
927,15,90P19
928,14,CP99-1738
929,6,CP11-1225
930,27,CP98-1068
931,7,CP15-1390
932,19,CP15-2535
933,3,CP88-0775
934,28,CP14-1463
935,1,CP04-1032
936,16,CP13-1856
937,9,CP13-2480
938,0,Ho03-0023
939,19,CP09-1292
940,3,CP80-0305
941,18,CP18-2138
942,19,CP16-1928
943,0,CP17-2196
944,0,L09-0116
945,6,CP10-1375
946,17,CP91-1270
947,10,CP08-2395
948,27,CP97-1585
949,2,CP04-1106
950,2,CP01-2618
951,6,CP14-1165
952,11,CP01-2683
953,22,CP07-2220
954,18,CP15-2387
955,7,CP18-4721
956,0,CP11-2381
957,33,CP97-2179
958,0,CP17-2216
959,14,CP98-1572
960,2,CP15-1331
961,20,CP10-1527
962,25,CP18-1636
963,17,CP94-1212
964,18,CP17-4030
965,2,CP01-2333
966,22,CP99-1326
967,18,CP18-1776
968,5,CP94-1709
969,2,CP01-2506
970,16,CP19-4121
971,6,CP06-3117
972,0,Ho06-0529
973,11,CP15-1723
974,1,CP03-1732
975,2,CP03-1318
976,18,POLY11-14
977,17,CP79-1380
978,3,CP70-0330
979,18,CP08-2173
980,27,CP92-1859
981,20,CP04-2166
982,5,CP88-2045
983,20,Mix 07 K
984,2,CP94-2056
985,0,CP10-1313
986,8,CPCL99-4455
987,17,SP71-3501
988,7,CP10-2002
989,6,POLY06-30
990,0,HoCP09-0814
991,2,Mix 08-Y
992,0,Ho16-9041
993,10,CP16-4342
994,7,CP16-1377
995,11,CP04-1600
996,11,CP03-2377
997,4,CP04-2130
998,7,CP17-1305
999,18,CP14-2213
1000,10,CP12-2261
1001,18,CP17-4656
1002,2,CP00-1261
1003,5,CP96-1096
1004,2,CP03-1671
1005,0,Ho09-9136
1006,9,CP09-2112
1007,27,CP01-1770
1008,5,CP02-1502
1009,6,CP10-1688
1010,12,CPCL02-7577
1011,3,LCP86-0451
1012,18,CP19-1757
1013,17,CP91-1294
1014,6,CP09-1994
1015,8,CP18-4580
1016,10,CP15-1561
1017,3,CP94-1757
1018,18,CP18-4514
1019,14,CP98-1793
1020,32,CP95-2013
1021,4,CP04-1981
1022,7,CP19-1657
1023,20,CP10-1302
1024,12,CP10-2317
1025,0,CP10-2467
1026,9,CPCL06-3370
1027,10,CP17-2357
1028,17,CP00-1549
1029,5,CP94-1480
1030,12,CP15-1555
1031,5,CP03-2171
1032,6,CP10-2389
1033,20,CP12-1295
1034,7,CP14-4408
1035,17,CP92-1616
1036,5,CP93-1470
1037,18,CP17-1693
1038,27,CP98-1605
1039,4,CP06-2047
1040,2,CP92-1167
1041,2,CP84-1198
1042,6,CP01-2390
1043,2,CP80-1743
1044,8,CP08-1553
1045,8,CP97-1777
1046,1,CP89-2377
1047,2,CP89-2143
1048,18,CP07-2547
1049,1,CP80-1827
1050,7,CP06-2897
1051,19,CL89-5189
1052,19,CP06-2400
1053,0,LCP85-0384
1054,17,CP70-1133
1055,7,CPCL02-8021
1056,5,CP01-2630
1057,1,CP91-1409
1058,10,CP92-1333
1059,9,CP09-1341
1060,8,CP12-1076
1061,3,CP94-1993
1062,28,CP13-1348
1063,19,CP15-2527
1064,2,CP01-2478
1065,3,CP78-0325
1066,17,CP91-1231
1067,24,CP17-4863
1068,19,CP13-1985
1069,7,CP18-4316
1070,3,CP89-0804
1071,20,CP12-1562
1072,0,CP11-1476
1073,5,CP93-1057
1074,0,Ho16-9021
1075,3,CP90-0928
1076,8,CP19-1061
1077,2,CP15-1323
1078,29,CP17-2407
1079,19,CP17-2264
1080,4,CP06-2740
1081,0,L19-0496
1082,17,CP91-1479
1083,3,CP92-1280
1084,10,CP19-1710
1085,3,LCP83-0193
1086,10,CP16-4534
1087,13,CP19-4898
1088,3,CP96-1370
1089,2,CP00-1598
1090,9,CP02-1673
1091,6,CP09-1489
1092,3,V71-0051
1093,18,CP17-4234
1094,18,CP16-4407
1095,18,CP16-2437
1096,1,CP97-2045
1097,9,CP16-1489
1098,15,CP06-2788
1099,18,CP16-2069
1100,2,CPCL02-1830
1101,3,L91-0287
1102,6,CP09-1841
1103,2,CP04-1230
1104,6,TCP97-4416
1105,20,TCP00-4518
1106,3,CP77-0414
1107,11,L95-0461
1108,4,03P12
1109,16,CPCL02-7363
1110,3,L91-0281
1111,27,CP74-2005
1112,8,Q196
1113,25,CPCL05-1108
1114,1,96P2
1115,0,HoCP91-0555
1116,6,CL93-5194
1117,2,CL02-8021
1118,5,CP88-2066
1119,2,99P04
1120,19,CP18-2400
1121,9,CP15-1080
1122,33,CP97-2185
1123,6,CP09-1896
1124,8,CP18-2336
1125,5,CP94-2067
1126,0,CP96-1879
1127,16,CP13-2175
1128,0,Ho15-9335
1129,7,CP19-4200
1130,2,CP07-1498
1131,0,CP14-1226
1132,0,Ho18-9205
1133,8,CP15-2543
1134,0,CP11-2067
1135,12,CP11-1168
1136,16,CP14-1555
1137,1,CP99-1472
1138,3,CP94-1142
1139,6,CP09-1483
1140,3,HoCP95-0942
1141,16,CPCL01-6289
1142,10,CP17-2424
1143,5,CP95-1752
1144,3,LCP87-0018
1145,5,CP94-1193
1146,13,CP13-1468
1147,16,CP14-1633
1148,2,CP06-2111
1149,10,CP16-1601
1150,8,CP17-4087
1151,5,CP94-1063
1152,9,CP07-2090
1153,7,CP14-2508
1154,7,CP16-1376
1155,8,CP15-2101
1156,2,CP03-1992
1157,0,CP01-1015
1158,3,CP61-0061
1159,7,CP17-1463
1160,17,CP90-1335
1161,6,CP11-1367
1162,18,CP19-4506
1163,20,CP10-2304
1164,7,CP15-1499
1165,25,CP19-1410
1166,3,LCP86-0468
1167,0,L03-0394
1168,8,CP09-2194
1169,14,CPCL01-6511
1170,0,HoCP06-0506
1171,14,CP01-2115
1172,1,CP91-1506
1173,7,CP18-1227
1174,0,Ho19-9311
1175,17,CP91-1283
1176,2,CP14-4472
1177,5,CP94-1808
1178,9,CP15-4397
1179,14,CP02-1834
1180,33,CP97-2204
1181,18,CP18-2007
1182,7,CP14-2489
1183,5,CP94-1319
1184,3,CP87-0641
1185,14,CP01-1750
1186,7,CP17-1593
1187,17,CP01-1494
1188,7,CP11-1012
1189,3,L60-0024
1190,7,CP14-4413
1191,18,CP14-2540
1192,0,HoCP00-0931
1193,0,Ho11-0561
1194,1,CP06-2038
1195,18,CP16-1961
1196,24,CPCL05-1215
1197,8,CP19-4571
1198,9,CP13-1736
1199,2,CP11-2524
1200,1,CP92-1675
1201,13,CP10-2377
1202,7,CP18-1680
1203,5,CP99-1757
1204,7,CP16-1060
1205,11,CP14-1740
1206,2,CP14-2259
1207,8,CP18-2083
1208,2,CP03-1776
1209,3,HoCP00-0913
1210,22,CP99-1317
1211,0,L15-0305
1212,19,CP07-2570
1213,1,CP00-1084
1214,18,CP17-2390
1215,13,CPCL02-6225
1216,3,Ho78-0025
1217,3,LHo92-0314
1218,3,Ho79-0005
1219,3,CP70-0383
1220,0,L09-0105
1221,0,Ho13-9143
1222,3,CP90-0963
1223,0,Ho10-9237
1224,65,CP91-1150-05
1225,0,HoCP96-0522
1226,0,POLY09-07
1227,0,HoCP00-0938
1228,29,HoCP12-0673
1229,37,H49-0005
1230,0,HoCP12-0666
1231,3,CP31-0518
1232,0,Ho99-0017
