pagerank,vertex
2.1583477e-05,Ho12-9014
1.9933901e-05,CPCL06-3316
1.9782843e-05,CP09-1978
1.9914583e-05,CP13-1323
1.9708523e-05,CP14-1488
2.0772033e-05,CP97-1645
1.9663883e-05,CP00-2120
2.0046456e-05,CP15-1204
1.9647527e-05,CP14-1069
1.9691159e-05,CP15-4681
1.9633382e-05,CP15-4847
2.3802739e-05,CP15-1767
1.9966994e-05,CP14-2371
1.9670708e-05,CP15-1170
1.9671852e-05,CP11-1535
1.980407e-05,HoCP97-0630
2.004466e-05,CP02-1605
2.0705636e-05,CP99-1494
1.9695843e-05,CP03-2332
1.9735908e-05,CP04-1327
1.9803527e-05,CP15-4773
9.48388e-05,B62163
1.9932433e-05,CP93-1472
1.9912506e-05,CP18-1878
1.968275e-05,CP15-4654
2.163097e-05,CP14-4515
2.1326e-05,CP92-1799
1.9682528e-05,CP03-2051
1.9699566e-05,CP99-1751
1.9731075e-05,CP09-1674
1.9960624e-05,CP10-1984
2.0329167e-05,CP07-2216
1.9858435e-05,CP99-1694
2.1027277e-05,CP03-2161
2.0220636e-05,CP11-1019
2.5671878e-05,Ho00-0012
2.1694615e-05,CP07-1200
1.980151e-05,CP11-2445
2.0087258e-05,CP97-1743
1.9801697e-05,CP19-4206
1.980151e-05,CP04-1736
2.0104933e-05,CP10-1329
1.9998559e-05,CP15-1097
1.9736566e-05,CP97-1291
1.9678004e-05,CP93-1326
1.968706e-05,CP16-1239
3.6864603e-05,Ho83-0008
2.0024067e-05,CP06-2932
2.3166336e-05,Ho96-0565
2.0020494e-05,CP19-2337
2.0530153e-05,CPCL01-6539
2.1489213e-05,CP98-1249
4.412191e-05,CL61-0620
1.9654439e-05,CP11-1946
1.9658373e-05,CP11-2352
1.9835248e-05,CP12-2296
2.0701398e-05,CP92-1687
2.145566e-05,CP62-0350
1.9800667e-05,CP16-2088
2.1292724e-05,HoCP93-0741
1.9725634e-05,CP04-1868
1.9695457e-05,CP95-1142
1.9803527e-05,CP17-4387
3.7639264e-05,CP00-2039
2.4429657e-05,Ho14-9258
1.9968404e-05,CP98-1797
1.9761204e-05,CP16-1983
1.9692403e-05,CP04-1147
2.0894855e-05,CP04-1543
2.239557e-05,HoCP17-0705
1.9643308e-05,CP14-1203
1.9814588e-05,CP16-2013
2.0650261e-05,CP13-2213
2.140962e-05,L89-0112
1.9691159e-05,CP17-4743
1.9663366e-05,CP16-2254
1.9958434e-05,CP97-2205
4.603438e-05,AFRI15-0003
1.9916151e-05,CP98-1657
1.998749e-05,CP00-1864
2.0019592e-05,CP95-1747
2.2525539e-05,LCP86-0407
2.017144e-05,CP18-2301
2.0473251e-05,CP08-2024
1.9931269e-05,CP18-4758
2.216113e-05,L93-0366
1.9663445e-05,CP16-2038
1.9649076e-05,CP14-1413
1.965701e-05,CP01-1329
2.0184512e-05,CP11-1693
4.5205048e-05,HoCP92-0654
1.9903364e-05,CP94-1387
1.992416e-05,CP01-2622
1.9668381e-05,CP15-1190
2.0077554e-05,CP06-2319
2.1815324e-05,CP98-3021
2.7932198e-05,CP00-1059
2.0993379e-05,CP80-0350
1.9727659e-05,CP12-1765
2.0065061e-05,CP88-0700
1.964869e-05,CP06-2720
2.0467229e-05,CP19-1762
2.001241e-05,CP97-1971
2.23936e-05,CPCL06-3528
1.998749e-05,CP00-1863
1.9726662e-05,CP12-1163
1.9691925e-05,CP12-1836
2.080731e-05,CPCL02-7506
1.969117e-05,CP14-4467
2.1029502e-05,CP94-1489
2.0351374e-05,CP17-1064
2.0163534e-05,CP13-1350
